Ano,Quantidade,País,...4,...5
1872,9930478,Brasil,NA,NA
1890,14333915,Brasil,NA,NA
1900,17438434,Brasil,NA,NA
1920,30635605,Brasil,NA,NA
1940,41236315,Brasil,NA,NA
1950,51944397,Brasil,NA,NA
1960,70992343,Brasil,NA,NA
1970,94508583,Brasil,NA,NA
1980,121150573,Brasil,NA,NA
1991,146917459,Brasil,NA,NA
2000,169872856,Brasil,NA,NA
2010,190755799,Brasil,NA,NA
2022,203080756,Brasil,NA,NA
1872,58200000,Rússia,NA,NA
1890,64800000,Rússia,NA,NA
1900,71200000,Rússia,NA,NA
1920,93500000,Rússia,NA,NA
1940,110100000,Rússia,NA,NA
1950,102700000,Rússia,NA,NA
1960,119000000,Rússia,NA,NA
1970,130100000,Rússia,NA,NA
1980,138500000,Rússia,NA,NA
1991,148514000,Rússia,NA,NA
2000,146596514,Rússia,NA,NA
2010,142856536,Rússia,NA,NA
2022,146150789,Rússia,NA,NA
1872,34800000,Japão,NA,NA
1890,39900000,Japão,NA,NA
1900,43800000,Japão,NA,NA
1920,55963000,Japão,NA,NA
1940,73114000,Japão,NA,NA
1950,82100000,Japão,NA,NA
1960,93419000,Japão,NA,NA
1970,103720000,Japão,NA,NA
1980,117060000,Japão,NA,NA
1991,123920000,Japão,NA,NA
2000,126926000,Japão,NA,NA
2010,128070000,Japão,NA,NA
2022,125125000,Japão,NA,NA
