País,Percentual,Ano
Argentina,20.2918819188193,2000
Argentina,19.9290590405906,2001
Argentina,19.5662361623617,2002
Argentina,19.2034132841329,2003
Argentina,18.8405904059042,2004
Argentina,18.4777675276754,2005
Argentina,18.1149446494466,2006
Argentina,17.7521217712177,2007
Argentina,17.389298892989,2008
Argentina,17.0264760147602,2009
Argentina,16.6636531365314,2010
Argentina,16.3008302583027,2011
Argentina,15.9380073800738,2012
Argentina,15.6,2013
Argentina,15.2,2014
Argentina,14.8,2015
Argentina,14.5,2016
Argentina,14.5,2017
Argentina,14.5,2018
Argentina,14.5,2019
Argentina,14.5,2020
Argentina,14.5,2021
Argentina,14.5,2022
Brasil,34.7397766323015,2000
Brasil,33.0862199312705,2001
Brasil,31.4326632302395,2002
Brasil,29.7791065292085,2003
Brasil,28.1255498281776,2004
Brasil,26.471993127147,2005
Brasil,24.818436426116,2006
Brasil,23.164879725085,2007
Brasil,21.511323024054,2008
Brasil,19.857766323023,2009
Brasil,18.204209621992,2010
Brasil,16.5506529209611,2011
Brasil,14.8970962199301,2012
Brasil,14.8970962199301,2013
Brasil,14.8970962199301,2014
Brasil,14.8970962199301,2015
Brasil,14.8970962199301,2016
Alemanha,0,2020
Alemanha,0,2021
Alemanha,0,2022
Alemanha,NA,2023
Alemanha,0,2019
Alemanha,0,2018
Alemanha,0,2010
Alemanha,0,2017
Alemanha,0,2015
Alemanha,0,2016
Alemanha,0,2014
Alemanha,0,2011
Alemanha,0,2013
Alemanha,0,2012
Alemanha,0,2000
Alemanha,0,2001
Alemanha,0,2002
Alemanha,0,2003
Alemanha,0,2004
Alemanha,0,2005
Alemanha,0,2006
Alemanha,0,2007
Alemanha,0,2008
Alemanha,0,2009
Índia,55.2947705948493,2000
Índia,54.9456638140791,2001
Índia,54.596557033309,2002
Índia,54.2474502525388,2003
Índia,53.8983434717686,2004
Índia,53.5492366909984,2005
Índia,53.2001299102283,2006
Índia,52.8510231294581,2007
Índia,52.5019163486879,2008
Índia,52.1528095679178,2009
Índia,51.8037027871476,2010
Índia,51.4545960063774,2011
Índia,51.1054892256072,2012
Índia,50.7563824448371,2013
Índia,50.4072756640669,2014
Índia,50.0581688832967,2015
Índia,49.7090621025266,2016
Índia,49.3599553217565,2017
Índia,49.0108485409863,2018
Índia,49.0108485409863,2019
Índia,49.0108485409863,2020
Índia,42.05803,2021
Índia,41.44678,2022
