Grupo,Masculino,Feminino
100 anos ou mais,10570,27244
95 a 99 anos,50319,114859
90 a 94 anos,194341,385388
85 a 89 anos,493649,835554
80 a 84 anos,1009852,1465178
75 a 79 anos,1657786,2189593
70 a 74 anos,2615350,3243186
65 a 69 anos,3588052,4288180
60 a 64 anos,4605834,5338555
55 a 59 anos,5419505,6149601
50 a 54 anos,6014391,6584190
45 a 49 anos,6549109,7091003
40 a 44 anos,7781059,8291111
35 a 39 anos,7827333,8345458
30 a 34 anos,7537285,7935832
25 a 29 anos,7627458,7842265
20 a 24 anos,7767306,7699157
15 a 19 anos,7317515,7058427
10 a 14 anos,6992746,6682215
5 a 9 anos,7011282,6738158
0 a 4 anos,6461689,6243171
