Grupo de idade;População feminina(pessoas);População masculina(pessoas);Recorte Geográfico;;
100 anos ou mais;27244;10570;Total;Brasil;
95 a 99 anos;114859;50319;Total;Brasil;
90 a 94 anos;385388;194341;Total;Brasil;
85 a 89 anos;835554;493649;Total;Brasil;
80 a 84 anos;1465178;1009852;Total;Brasil;
75 a 79 anos;2189593;1657786;Total;Brasil;
70 a 74 anos;3243186;2615350;Total;Brasil;
65 a 69 anos;4288180;3588052;Total;Brasil;
60 a 64 anos;5338555;4605834;Total;Brasil;
55 a 59 anos;6149601;5419505;Total;Brasil;
50 a 54 anos;6584190;6014391;Total;Brasil;
45 a 49 anos;7091003;6549109;Total;Brasil;
40 a 44 anos;8291111;7781059;Total;Brasil;
35 a 39 anos;8345458;7827333;Total;Brasil;
30 a 34 anos;7935832;7537285;Total;Brasil;
25 a 29 anos;7842265;7627458;Total;Brasil;
20 a 24 anos;7699157;7767306;Total;Brasil;
15 a 19 anos;7058427;7317515;Total;Brasil;
10 a 14 anos;6682215;6992746;Total;Brasil;
5 a 9 anos;6738158;7011282;Total;Brasil;
0 a 4 anos;6243171;6461689;Total;Brasil;
