Ano da pesquisa;População(pessoas);Recorte Geográfico;;
1872;58200000;Rússia;;
1890;64800000;Rússia;;
1900;71200000;Rússia;;
1920;93500000;Rússia;;
1940;110100000;Rússia;;
1950;102700000;Rússia;;
1960;119000000;Rússia;;
1970;130100000;Rússia;;
1980;138500000;Rússia;;
1991;148514000;Rússia;;
2000;146596514;Rússia;;
2010;142856536;Rússia;;
2022;146150789;Rússia;;
1872;34800000;Japão;;
1890;39900000;Japão;;
1900;43800000;Japão;;
1920;55963000;Japão;;
1940;73114000;Japão;;
1950;82100000;Japão;;
1960;93419000;Japão;;
1970;103720000;Japão;;
1980;117060000;Japão;;
1991;123920000;Japão;;
2000;126926000;Japão;;
2010;128070000;Japão;;
2022;125125000;Japão;;
